symbol,interval,candle_time,open_time,entry,sl,tp,status,type,start_timestamp,close_time,duration,exit_price,exit_reason,rr_ratio
SOLUSDT,5m,1762194300000,2025-11-03 18:25:00,169.2600,169.5000,169.0200,closed,Short,1762194515.2209,2025-11-03 18:28:40,5,168.8000,TP Hit,1.0000
SOLUSDT,1d,1762128000000,2025-11-03 00:00:00,187.7100,184.1750,191.2450,closed,Long,1762194516.5222,2025-11-03 18:28:40,4,168.8100,SL Hit,1.0000
ADAUSDT,5m,1762194300000,2025-11-03 18:25:00,0.5639,0.5648,0.5630,closed,Short,1762194517.1081,2025-11-03 18:28:41,4,0.5625,TP Hit,1.0000
SOLUSDT,5m,1762194900000,2025-11-03 18:35:00,168.7200,169.0400,168.4000,closed,Short,1762194902.4350,2025-11-03 18:36:57,114,169.0500,SL Hit,1.0000
BTCUSDT,5m,1762195200000,2025-11-03 18:40:00,107252.1600,107350.4500,107153.8700,closed,Short,1762195201.2048,2025-11-03 18:41:08,66,107153.0900,TP Hit,1.0000
SOLUSDT,1d,1762128000000,2025-11-03 00:00:00,187.7100,184.1750,191.2450,closed,Long,1762195989.7379,2025-11-03 18:53:14,4,168.2300,SL Hit,1.0000
SOLUSDT,1d,1762128000000,2025-11-03 00:00:00,187.7100,184.1750,191.2450,closed,Long,1762196030.4624,2025-11-03 18:53:54,4,168.1100,SL Hit,1.0000
SOLUSDT,1d,1762128000000,2025-11-03 00:00:00,187.7100,184.1750,191.2450,closed,Long,1762197114.0422,2025-11-03 19:11:58,4,167.2000,SL Hit,1.0000
